ID,AGENTE,AUTOMOVILASIGNADO_ID,CADUCIDADASIGNACIONSERVICIO,CALIFICACIONCONDUCTORASIGNADO,CALIFICACION_USUARIO,CONDUCTORASIGNADO_ID,CONDUCTORESPOSTULADOS,COSTO,DELTACADUCIDADASIGNACION,DIRECCIONCOMPLEMENTARIA,DIRECCIONDESTINO,ESTADO,FECHA,FECHALEGIBLE,HORALANZAMIENTO,IDCIUDAD,IDLLAMADA,IDSERVICIO,INDICACIONES,LATITUD,LATITUDDESTINO,LONGITUD,LONGITUDDESTINO,MEDIOPAGO,NUMEROVALE,ORIGEN,PLACAAUTOMOVILASIGNADO,PROMEDIOCONDUCTORASIGNADO,PROPINA,TAMANOVEHICULO,TIPOASIGNACION,TIPOSERVICIO,USAPLANILLA,USUARIO,USUARIOAPLICACION_ID,USUARIOTELEFONICO_ID,IDCONDUCTORASIGNADO,DESCPAGO,BARRIOORIGEN,NUMEROCARROS,ANTERIOR,RUTA,CONDUCTOR_CERCANO,RECORRIDO_METROS,DISTANCIA,RECORRIDO_DISTANCIA,CALC_TARIFA,PRELIQUIDACION,TIEMPO,NUMERO_PASAJEROS,COSTO_INTERRUMPIDO
46536034,NULL,139186,90,NULL,NULL,148483698078543187967,NULL,8000,32,"ANTONIO NARI��O","TV 103 # DG 26P14 (CALI)",CUMPLIDO,1612137668885,"2021-02-01 00:01:08",NULL,76001,Sip/Cali_4444444,NULL,,3.4101826,3.4210437,-76.50529393,-76.4781001,EFECTIVO,NULL,IVR,WMV832,5,NULL,NORMAL,TIEMPO_RUTA,NORMAL,0,4217890,NULL,4217890,148483698078543187967,"Pago definido/preliquidado por 8000","ANTONIO NARI��O",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536035,NULL,120426,180,4,NULL,158745844512975755499,NULL,7800,60,NULL,"TV 81D # DG 38 SUR (BOGOTA)",CUMPLIDO,1612137671295,"2021-02-01 00:01:11",NULL,11001,NULL,NULL,NULL,4.635546076324013,4.63082,-74.16953634470701,-74.15916,EFECTIVO,NULL,APP,VDB037,4,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9381812,NULL,NULL,158745844512975755499,"Pago definido/preliquidado por 7800","CIUDAD DE CALI",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536036,NULL,154522,180,NULL,NULL,153727963260677107323,NULL,7000,60,NULL,"KR 11 # 26 - 1 Sur",CANCELADO,1612137674016,"2021-02-01 00:01:14",NULL,11001,NULL,NULL,NULL,4.576489103632629,4.574800018617027,-74.1063803806901,-74.0993570163846,EFECTIVO,NULL,APP,TSO876,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8036362,NULL,NULL,153727963260677107323,NULL,"GUSTAVO RESTREPO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536037,NULL,106963,180,5,NULL,158765424574824882567,NULL,13000,60,NULL,"CL 131 # KR 105B (BOGOTA)",CUMPLIDO,1612137678712,"2021-02-01 00:01:18",NULL,11001,NULL,NULL,NULL,4.697928257769327,4.734622595000076,-74.0818364918232,-74.1015690289999,EFECTIVO,NULL,APP,VFD617,4,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8135142,NULL,NULL,158765424574824882567,"Pago definido/preliquidado por 13000",POTOSI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536038,NULL,123179,180,NULL,NULL,106490547756582761409,NULL,20900,60,NULL,"carrera 35 2-25",CANCELADO,1612137679248,"2021-02-01 00:01:19",NULL,11001,NULL,NULL,NULL,4.548247707829377,4.60557,-74.16109275072813,-74.10658,EFECTIVO,NULL,APP,SXO968,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8529750,NULL,NULL,106490547756582761409,NULL,"EL MIRADOR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536039,NULL,167707,180,NULL,NULL,158596749479434815245,NULL,NULL,60,NULL,"Carrera 6 83-55",CANCELADO,1612137680064,"2021-02-01 00:01:20",NULL,11001,NULL,NULL,NULL,4.676366580301624,4.66344,-74.0584198012948,-74.04731,EFECTIVO,NULL,APP,VER511,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,8450933,NULL,NULL,158596749479434815245,NULL,CHICO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536040,NULL,144167,180,4,NULL,152821305847420260255,NULL,13300,60,NULL,"DG 11 # TV 69B (BOGOTA)",CUMPLIDO,1612137680346,"2021-02-01 00:01:20",NULL,11001,NULL,NULL,NULL,4.67895464492232,4.637152230000083,-74.09536622464657,-74.12737267999995,EFECTIVO,NULL,APP,WPO440,4,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9436763,NULL,NULL,152821305847420260255,"Pago definido/preliquidado por 13300","EL LAUREL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536041,NULL,166290,180,NULL,NULL,155813882183432129128,NULL,12000,60,NULL,"DG 55BIS SUR # TV 3BIS (BOGOTA)",CUMPLIDO,1612137685286,"2021-02-01 00:01:25",NULL,11001,NULL,NULL,NULL,4.545481026768913,4.54027,-74.08317893743515,-74.11272,EFECTIVO,NULL,APP,VEJ382,4,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9036628,NULL,NULL,155813882183432129128,"Pago definido/preliquidado por 12000",MORALBA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536042,NULL,165430,180,NULL,NULL,149895132324186116296,NULL,8500,60,NULL,"Carrera 15A 118-55",CANCELADO,1612137692767,"2021-02-01 00:01:32",NULL,11001,NULL,NULL,NULL,4.693109802219022,4.69812,-74.03468526899816,-74.04404,EFECTIVO,NULL,APP,GUV688,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9036219,NULL,NULL,149895132324186116296,NULL,"SANTA ANA OCCIDENTAL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536043,NULL,NULL,180,NULL,NULL,NULL,NULL,5200,60,NULL,"CL 87 Sur # 91 - 90",CANCELADO,1612137694423,"2021-02-01 00:01:34",NULL,11001,NULL,NULL,NULL,4.623063362455965,4.623097449356881,-74.21180728822947,-74.21183008700609,EFECTIVO,NULL,APP,NULL,NULL,0,NORMAL,TIEMPO_RUTA,NORMAL,0,9457118,NULL,NULL,NULL,NULL,"SIN BARRIO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46536044,NULL,122199,90,NULL,NULL,150032524888384210855,NULL,13300,60,NULL,"AC 132 # KR 92 (BOGOTA)",CUMPLIDO,1612137696718,"2021-02-01 00:01:36",NULL,11001,17341705,NULL,NULL,4.69199873,4.73085,-74.05987508,-74.0874754,EFECTIVO,NULL,IVR,SMZ599,5,NULL,NORMAL,TIEMPO_RUTA,NORMAL,0,1292124,NULL,1292124,150032524888384210855,"Pago definido/preliquidado por 13300",ESTORIL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
